Mamba-negra;Dendroaspis polylepis;Dendroaspis;Elapidae;Squamata;Reptilia;Chordata;Animalia
Camaleão-de-três-chifres;Chamaeleo jacksonii;Chamaeleo;Chamaeleonidae;Squamata;Reptilia;Chordata;Animalia
Camaleão-pantera;Furcifer pardalis;Furcifer;Chamaeleonidae;Squamata;Reptilia;Chordata;Animalia
Crocodilo-americano;Crocodylus acutus;Crocodylus;Crocodylidae;Crocodylia;Reptilia;Chordata;Animalia
Crocodilo-cubano;Crocodylus rhombifer;Crocodylus;Crocodylidae;Crocodylia;Reptilia;Chordata;Animalia
Crocodilo-de-água-doce;Crocodylus johnstoni;Crocodylus;Crocodylidae;Crocodylia;Reptilia;Chordata;Animalia
Crocodilo-de-água-salgada;Crocodylus porosus;Crocodylus;Crocodylidae;Crocodylia;Reptilia;Chordata;Animalia
Crocodilo do deserto;Crocodylus suchus;Crocodylus;Crocodylidae;Crocodylia;Reptilia;Chordata;Animalia
Crocodilo-do-nilo;Crocodylus niloticus;Crocodylus;Crocodylidae;Crocodylia;Reptilia;Chordata;Animalia
Dragão-de-komodo;Varanus komodoensis;Varanus;Varanidae;Squamata;Reptilia;Chordata;Animalia
Iguana-comum;Iguana Iguana;Iguana;Iguanidae;Squamata;Reptilia;Chordata;Animalia
Iguana-marinha;Amblyrhynchus cristatus;Amblyrhynchus;Iguanidae;Squamata;Reptilia;Chordata;Animalia
Jacaré-de-papo-amarelo;Caiman latirostris;Caiman;Alligatoridae;Crocodylia;Reptilia;Chordata;Animalia
Jacaré-do-pantanal;Caiman yacare;Caiman;Alligatoridae;Crocodylia;Reptilia;Chordata;Animalia
Jacaretinga;Caiman crocodilus;Caiman;Alligatoridae;Crocodylia;Reptilia;Chordata;Animalia
Naja-egípcia;Naja haje;Naja;Elapidae;Squamata;Reptilia;Chordata;Animalia
Naja-indiana;Naja naja;Naja;Elapidae;Squamata;Reptilia;Chordata;Animalia
Sucuri-amarela;Eunectes notaeus;Eunectes;Boidae;Squamata;Reptilia;Chordata;Animalia
Sucuri-verde;Eunectes murinus;Eunectes;Boidae;Squamata;Reptilia;Chordata;Animalia
Tartaruga-aligator;Macrochelys temminckii;Macrochelys;Chelydridae;Testudines;Reptilia;Chordata;Animalia
Tartaruga-mordedora;Chelydra serpentina;Chelydra;Chelydridae;Testudines;Reptilia;Chordata;Animalia
Tartaruga-gigante-de-arnold;Aldabrachelys gigantea arnoldi;Aldabrachelys;Testudinidae;Testudines;Reptilia;Chordata;Animalia
Tartaruga-gigante-de-aldabra;Aldabrachelys gigantea;Aldabrachelys;Testudinidae;Testudines;Reptilia;Chordata;Animalia
Tartaruga-de-couro;Dermochelys coriacea;Dermochelys;Dermochelyidae;Testudines;Reptilia;Chordata;Animalia
